item_id,subtest,run-on
Q1,subject-verb-object,simple
Q2,subject-verb-object,simple
Q3,subject-verb,simple
Q4,subject-verb,simple
Q5,subject-verb-object,simple
Q6,subject-verb,simple
Q7,subject-verb,simple
Q8,subject-verb-object,run-on
Q9,subject-verb-object,run-on
Q10,conjunction,run-on
Q11,conjunction,run-on
Q12,subject-verb-object,simple
Q13,conjunction,simple
Q14,conjunction,simple
Q15,subject-verb-object,simple
Q16,subject-verb-object,simple
Q17,conjunction,simple
Q18,conjunction,simple
Q19,subject-verb,simple
Q20,conjunction,simple
