judgeName,timeTaken,chosen,notChosen,createdAt
1,1933,BRTL7L,CFFW5E,24/04/2023 13:09
1,1037,BQGLHC,5Q6JTT,24/04/2023 13:09
1,1361,QGH35T,CXRYMX,24/04/2023 13:09
1,1030,5Q6JTT,CFFW5E,24/04/2023 13:09
1,963,BQGLHC,BRTL7L,24/04/2023 13:09
1,1508,CXRYMX,BRTL7L,24/04/2023 13:09
1,1892,BQGLHC,QGH35T,24/04/2023 13:09
1,1080,QGH35T,CFFW5E,24/04/2023 13:09
1,1080,BRTL7L,5Q6JTT,24/04/2023 13:09
1,1382,CXRYMX,CFFW5E,24/04/2023 13:09
1,1449,QGH35T,5Q6JTT,24/04/2023 13:10
1,1503,CXRYMX,5Q6JTT,24/04/2023 13:10
1,1049,BQGLHC,CFFW5E,24/04/2023 13:10
1,1446,QGH35T,BRTL7L,24/04/2023 13:10
1,1031,BQGLHC,CXRYMX,24/04/2023 13:10
1,1059,BRTL7L,CFFW5E,24/04/2023 13:10
1,1071,CXRYMX,5Q6JTT,24/04/2023 13:10
1,1570,QGH35T,BRTL7L,24/04/2023 13:10
1,1002,BQGLHC,QGH35T,24/04/2023 13:10
1,1388,CXRYMX,CFFW5E,24/04/2023 13:10
1,968,QGH35T,5Q6JTT,24/04/2023 13:10
1,1506,BQGLHC,BRTL7L,24/04/2023 13:10
1,1734,5Q6JTT,CFFW5E,24/04/2023 13:10
1,929,BQGLHC,CXRYMX,24/04/2023 13:10
1,953,QGH35T,CFFW5E,24/04/2023 13:10
1,1015,QGH35T,5Q6JTT,24/04/2023 13:10
1,999,CXRYMX,BRTL7L,24/04/2023 13:10
1,1658,BQGLHC,BRTL7L,24/04/2023 13:10
1,1319,BQGLHC,CFFW5E,24/04/2023 13:10
1,1017,CXRYMX,5Q6JTT,24/04/2023 13:10
1,1359,5Q6JTT,CFFW5E,24/04/2023 13:10
1,1034,BQGLHC,BRTL7L,24/04/2023 13:10
1,1431,CXRYMX,CFFW5E,24/04/2023 13:10
1,948,QGH35T,BRTL7L,24/04/2023 13:10
1,1670,BRTL7L,5Q6JTT,24/04/2023 13:10
1,1004,BQGLHC,CXRYMX,24/04/2023 13:10
1,1475,QGH35T,5Q6JTT,24/04/2023 13:10
1,1352,QGH35T,CFFW5E,24/04/2023 13:10
1,1592,CXRYMX,CFFW5E,24/04/2023 13:10
1,1110,BQGLHC,QGH35T,24/04/2023 13:10
1,1836,BRTL7L,5Q6JTT,24/04/2023 13:10
1,1255,QGH35T,CXRYMX,24/04/2023 13:10
1,1908,BQGLHC,CXRYMX,24/04/2023 13:10
1,1763,QGH35T,CFFW5E,24/04/2023 13:10
1,1054,CXRYMX,5Q6JTT,24/04/2023 13:10
1,1911,BRTL7L,CFFW5E,24/04/2023 13:10
1,1112,BQGLHC,5Q6JTT,24/04/2023 13:10
1,1820,BQGLHC,BRTL7L,24/04/2023 13:10
1,1003,CXRYMX,CFFW5E,24/04/2023 13:10
1,985,BRTL7L,5Q6JTT,24/04/2023 13:10
1,1079,BQGLHC,QGH35T,24/04/2023 13:10
1,1227,CXRYMX,CFFW5E,24/04/2023 13:11
1,1013,BQGLHC,5Q6JTT,24/04/2023 13:11
1,1118,CXRYMX,BRTL7L,24/04/2023 13:11
1,976,BQGLHC,QGH35T,24/04/2023 13:11
1,997,BRTL7L,CFFW5E,24/04/2023 13:11
1,1586,CXRYMX,5Q6JTT,24/04/2023 13:11
1,1532,BQGLHC,QGH35T,24/04/2023 13:11
1,1497,BQGLHC,CFFW5E,24/04/2023 13:11
1,1662,5Q6JTT,CFFW5E,24/04/2023 13:11
